Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-21 06:00:00,25095.0,25489.472515973728,25700.734949857375,25152.828993875868
2021-12-21 07:00:00,26697.833333333332,25488.429037375852,27049.229479705024,26597.864909425694
2021-12-21 08:00:00,27208.583333333332,25487.765082520982,26788.539743261295,26519.119880419938
2021-12-21 09:00:00,26807.416666666668,25487.484563489405,26008.02576119645,25777.42801250427
2021-12-21 10:00:00,26105.666666666668,25487.552416195533,25119.468171923992,24803.337528414988
2021-12-21 11:00:00,25411.833333333332,25487.904520651333,24434.695600154086,24086.691825008875
2021-12-21 12:00:00,25055.666666666668,25488.458893239578,24131.538900847107,23768.955451236594
2021-12-21 13:00:00,25077.583333333332,25489.12682274552,24280.51468198404,23962.29467595829
2021-12-21 14:00:00,25072.416666666668,25489.822846128027,24831.72462007842,24551.32018829276
2021-12-21 15:00:00,25977.166666666668,25490.472757708074,25872.704325352828,25532.004719061795
2021-12-21 16:00:00,27399.833333333332,25491.019174761142,27597.688860922506,27056.872639075176
2021-12-21 17:00:00,29470.25,25491.42450529709,29803.98731598763,29227.500545559455
2021-12-21 18:00:00,29677.5,25491.671448897414,29948.55957771093,29365.71978622556
2021-12-21 19:00:00,29283.5,25491.761386562375,29522.245353768867,28924.431735232843
2021-12-21 20:00:00,28755.75,25491.711167972888,28930.87064433217,28336.73510516621
2021-12-21 21:00:00,27838.916666666668,25491.54888110768,27983.91329177582,27362.62455711235
2021-12-21 22:00:00,26221.75,25491.30919461843,26357.415995725154,25695.076389767808
2021-12-21 23:00:00,24430.083333333332,25491.028808905856,24627.85558221578,23933.67617189734
2021-12-22 00:00:00,23121.75,25490.742452764705,23415.894093333845,22693.132756107836
2021-12-22 01:00:00,22203.916666666668,25490.47973602295,22578.299506054136,21809.968465950096
2021-12-22 02:00:00,21616.0,25490.263031934934,22080.59508460387,21256.49443724845
2021-12-22 03:00:00,21392.916666666668,25490.10643154493,21927.091150906068,21070.06927885332
2021-12-22 04:00:00,21847.833333333332,25490.01569812385,22345.635467770226,21459.86716161582
2021-12-22 05:00:00,23134.75,25489.989061637232,23599.11543520949,22692.624117312207
2021-12-22 06:00:00,24996.083333333332,25490.018635564604,25719.127992559086,24839.651596098207
2021-12-22 07:00:00,26236.916666666668,25490.09221200042,27067.622764790132,26274.416739467055
2021-12-22 08:00:00,26399.5,25490.195193319876,26806.93326532958,26120.83620523698
2021-12-22 09:00:00,25992.083333333332,25490.31244482334,26026.41949777733,25407.05154550444
2021-12-22 10:00:00,25450.666666666668,25490.429896155252,25137.862090086386,24496.221298889835
2021-12-22 11:00:00,25232.166666666668,25490.535772750627,24453.089662061055,23836.8389582282
2021-12-22 12:00:00,25470.5,25490.621395092607,24149.933068118746,23551.652934661983
2021-12-22 13:00:00,25798.083333333332,25490.681537010623,24298.90891886448,23754.645263955364
2021-12-22 14:00:00,26275.916666666668,25490.714379775105,24850.11889549776,24319.308886970808
2021-12-22 15:00:00,26710.916666666668,25490.721133103692,25891.098614035924,25275.990487903655
2021-12-22 16:00:00,27535.166666666668,25490.705415788514,27616.083143728072,26689.239829969512
2021-12-22 17:00:00,29188.666666666668,25490.672497426294,29822.38157966958,28786.66869880263
2021-12-22 18:00:00,29105.666666666668,25490.628499916333,29966.953814284676,28868.93149375845
2021-12-22 19:00:00,28560.416666666668,25490.579645174654,29540.63955964449,28383.33517041281
2021-12-22 20:00:00,27862.833333333332,25490.5316166643,28949.264819348682,27738.949045112982
2021-12-22 21:00:00,26876.666666666668,25490.489079837516,28002.307438240397,26748.264842229055
2021-12-22 22:00:00,25226.583333333332,25490.45538327701,26375.810117531364,25088.12096465351
2021-12-22 23:00:00,23475.25,25490.432440673037,24646.249684087594,23332.572499609603
2021-12-23 00:00:00,22156.166666666668,25490.420775672264,23434.288180219064,22096.888293838856
2021-12-23 01:00:00,21209.5,25490.419698308666,22596.693582672444,21226.136017857683
2021-12-23 02:00:00,20575.416666666668,25490.42757372208,22098.9891551411,20689.616887876
2021-12-23 03:00:00,20363.666666666668,25490.44214111139,21945.485218837148,20517.083507897416
2021-12-23 04:00:00,20689.0,25490.460842768494,22364.02953578821,20930.051592579683
2021-12-23 05:00:00,21725.0,25490.481128640233,23617.509505236118,22204.74326516371
2021-12-23 06:00:00,23308.916666666668,25490.500709998756,25737.522065812864,24368.19491201701
2021-12-23 07:00:00,24493.0,25490.51774523676,27086.01684189033,25829.425461436662
2021-12-23 08:00:00,25176.666666666668,25490.53095038474,26825.32734641773,25791.414678562112
2021-12-23 09:00:00,25998.416666666668,25490.5396356914,26044.81358264172,25177.060719177676
2021-12-23 10:00:00,26455.583333333332,25490.54367677917,25156.25617827897,24376.664954569147
2021-12-23 11:00:00,26834.25,25490.543434026345,24471.483752999706,23769.44843657848
2021-12-23 12:00:00,26734.583333333332,25490.539636756377,24168.327161171033,23508.30246252812
2021-12-23 13:00:00,26448.333333333332,25490.53324960421,24317.30301341158,23684.445342763524
2021-12-23 14:00:00,26246.25,25490.525337352476,24868.51299097917,24243.376293695976
2021-12-23 15:00:00,26427.583333333332,25490.51694200177,25909.492709976916,25181.325964507832
2021-12-23 16:00:00,27112.833333333332,25490.50898235084,27634.47723975261,26582.207607154738
2021-12-23 17:00:00,28673.583333333332,25490.502182420914,29840.77567550181,28701.204466699903
2021-12-23 18:00:00,28589.0,25490.497031132323,29985.34790974215,28795.92286148325
2021-12-23 19:00:00,28024.416666666668,25490.4937721209,29559.03365462598,28316.027572639927
2021-12-23 20:00:00,27415.083333333332,25490.492419751685,28967.658913819054,27696.138507529562
2021-12-23 21:00:00,26580.333333333332,25490.49279541735,28020.701532214618,26720.714736919075
2021-12-23 22:00:00,25200.333333333332,25490.494577154008,26394.2042110591,25095.218288662836
2021-12-23 23:00:00,23502.166666666668,25490.497355422427,24664.643777239457,23357.832464199153
2021-12-24 00:00:00,22113.833333333332,25490.5006884635,23452.68227307513,22124.129960127357
2021-12-24 01:00:00,21129.083333333332,25490.50415176404,22615.087675313283,21257.889655082243
2021-12-24 02:00:00,20432.833333333332,25490.507377657188,22117.38324764129,20738.183111582424
2021-12-24 03:00:00,20079.583333333332,25490.51008272224,21963.879311261153,20589.251495457553
2021-12-24 04:00:00,20104.166666666668,25490.512082252735,22382.42362818817,21016.19335831514
2021-12-24 05:00:00,20542.25,25490.513292474778,23635.903597651253,22313.710460948518
2021-12-24 06:00:00,21473.0,25490.51372231001,25755.916158270076,24485.992055142327
2021-12-24 07:00:00,22314.5,25490.513457227415,27104.410934405583,25982.445408887033
2021-12-24 08:00:00,22398.25,25490.512638100405,26843.721438997887,25940.596061127908
2021-12-24 09:00:00,21781.0,25490.511438004894,26063.207675286612,25209.58616679177
2021-12-24 10:00:00,21279.166666666668,25490.51003961676,25174.650270983388,24406.99782967444
2021-12-24 11:00:00,20480.583333333332,25490.508615369625,24489.87784575526,23760.113231332674
2021-12-24 12:00:00,20183.166666666668,25490.507311902278,24186.721253967688,23491.40684351937
2021-12-24 13:00:00,20392.583333333332,25490.50623964457,24335.697106238917,23599.32701050096
2021-12-24 14:00:00,21267.25,25490.505467737097,24886.907083827336,24154.038623375825
2021-12-24 15:00:00,22509.166666666668,25490.50502391479,25927.88680283721,25150.288602053486
2021-12-24 16:00:00,24224.583333333332,25490.504898548963,27652.87133261785,26768.313523804234
2021-12-24 17:00:00,26198.083333333332,25490.505051759395,29859.169768366468,28951.09458191155
2021-12-24 18:00:00,25848.5,25490.505422380116,30003.74200260231,29137.14326019227
2021-12-24 19:00:00,25237.583333333332,25490.50593757752,29577.42774747919,28791.853363524286
2021-12-24 20:00:00,24741.75,25490.506522051895,28986.053006664104,28266.988468630516
2021-12-24 21:00:00,24274.666666666668,25490.507105971068,28039.095625051286,27339.55147155162
2021-12-24 22:00:00,23363.25,25490.507631051685,26412.59830388788,25704.55657240193
2021-12-24 23:00:00,22204.916666666668,25490.508054485075,24683.03787006133,23950.074179795385
2021-12-25 00:00:00,21267.833333333332,25490.508350669956,23471.076365891327,22724.504865988845
2021-12-25 01:00:00,20513.583333333332,25490.508510939737,22633.48176812514,21866.889359718225
2021-12-25 02:00:00,19907.166666666668,25490.508541641724,22135.77734045011,21375.854541193312
2021-12-25 03:00:00,19576.25,25490.50846103152,21982.273404068095,21249.89561181576
2021-12-25 04:00:00,19477.25,25490.508295488075,22400.817720994222,21675.391308323356
2021-12-25 05:00:00,19639.0,25490.508075539587,23654.29769045718,22924.92385396648
2021-12-25 06:00:00,20316.75,25490.507832128675,25774.310251076447,25084.702749512242
2021-12-25 07:00:00,20789.333333333332,25490.507593450828,27122.805027212766,26525.877799331403
2021-12-25 08:00:00,20957.0,25490.507382587813,26862.115531806085,26315.858767222748
2021-12-25 09:00:00,21035.833333333332,25490.507216041828,26081.601768095883,25552.742340536563
2021-12-25 10:00:00,21248.25,25490.507103168657,25193.044363793702,24636.135184831892
2021-12-25 11:00:00,21136.833333333332,25490.50704641856,24508.2719385665,23979.99080836432
2021-12-25 12:00:00,21190.5,25490.507042227866,24205.115346779705,23702.408023645046
2021-12-25 13:00:00,21240.75,25490.507082365042,24354.091199051538,23901.011533214743
2021-12-25 14:00:00,21707.583333333332,25490.507155521856,24905.301176640394,24518.116375801463
2021-12-25 15:00:00,22608.0,25490.507248950245,25946.280895650554,25513.86446915393
2021-12-25 16:00:00,23811.916666666668,25490.507349973726,27671.265425431346,27054.793661390067
2021-12-25 17:00:00,25298.416666666668,25490.50744724289,29877.563861180006,29217.957549151197
2021-12-25 18:00:00,25178.833333333332,25490.507531651583,30022.136095415808,29331.919952967462
2021-12-25 19:00:00,24858.666666666668,25490.507596878062,29595.821840292596,28862.273634441608
2021-12-25 20:00:00,24644.166666666668,25490.5076395587,29004.447099477387,28236.37896873827
2021-12-25 21:00:00,24284.333333333332,25490.50765913739,28057.489717864428,27226.092603120607
2021-12-25 22:00:00,23387.666666666668,25490.50765745908,26430.99239670089,25549.754445203504
2021-12-25 23:00:00,22252.5,25490.50763819012,24701.43196287421,23750.401767635332
2021-12-26 00:00:00,21111.166666666668,25490.507606152,23489.470458704105,22492.02467147509
2021-12-26 01:00:00,20208.5,25490.5075666492,22651.875860937835,21651.89393841332
2021-12-26 02:00:00,19700.583333333332,25490.50752485941,22154.17143326274,21155.63069645275
2021-12-26 03:00:00,19487.75,25490.507485336784,22000.66749688068,21040.864051362252
2021-12-26 04:00:00,19583.666666666668,25490.507451659276,22419.21181380678,21519.460199725403
2021-12-26 05:00:00,20069.5,25490.50742623163,23672.691783269733,22844.614710799768
2021-12-26 06:00:00,20932.666666666668,25490.50741023806,25792.704343889007,25058.990649980136
2021-12-26 07:00:00,21284.333333333332,25490.507403724747,27141.199120025332,26509.842857401924
2021-12-26 08:00:00,20843.083333333332,25490.507405782522,26880.509624618662,26297.838637687066
2021-12-26 09:00:00,20239.25,25490.507414795,26099.995860908486,25562.967134255647
2021-12-26 10:00:00,19852.833333333332,25490.507428716555,25211.438456606316,24748.0726534272
2021-12-26 11:00:00,19719.0,25490.507445347484,24526.666031379133,24131.654767054337
2021-12-26 12:00:00,19869.75,25490.507462579262,24223.509439592348,23902.09593419028
2021-12-26 13:00:00,20095.666666666668,25490.507478590327,24372.485291864195,24121.198559881872
2021-12-26 14:00:00,20720.583333333332,25490.507491980956,24923.695269453063,24631.149776384274
2021-12-26 15:00:00,22098.5,25490.50750184376,25964.674988463234,25582.971277097167
